MSSubClass,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,1stFlrSF,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,MoSold,YrSold,SalePrice
70,8730,6,7,1915,2003,698,1396,1,3,1,7,7,2007,153575
60,15611,8,5,2006,2006,1079,1919,2,3,1,8,7,2006,233230
190,5687,5,6,1912,2000,936,1716,2,6,1,9,3,2008,135900
50,11409,5,4,1949,2008,1148,1716,1,3,1,8,1,2009,131000
60,16659,7,7,1977,1994,1468,2263,2,3,1,9,3,2006,235000
20,9600,6,5,1953,1953,1644,1644,1,3,1,7,10,2009,167000
80,7937,6,6,1984,1984,1003,1003,1,3,1,6,3,2006,142500
50,13710,5,5,1950,1950,910,1558,1,4,1,6,6,2007,152000
60,7399,7,5,1997,1998,975,1950,2,3,1,7,6,2007,239000
60,11700,6,6,1968,1968,1041,1743,1,3,1,7,6,2007,175000
20,14000,6,8,1950,2004,1152,1152,1,3,1,6,8,2009,158500
190,15750,5,5,1953,1953,1336,1336,1,2,1,5,6,2006,157000
60,16226,8,5,1998,1999,1210,2452,2,4,1,9,5,2007,267000
20,13704,7,5,2001,2002,1541,1541,2,3,1,6,1,2006,205000
20,9800,5,7,1972,1972,894,894,1,3,1,5,7,2006,149900
75,18386,7,9,1880,2002,1675,3493,3,3,1,10,5,2008,295000
20,10386,8,5,2004,2005,2000,2000,2,3,1,8,7,2007,305900
60,13474,7,5,1990,1991,1122,2243,2,4,1,8,6,2007,225000
50,7920,6,7,1920,1950,1035,1406,1,3,1,6,3,2008,89500
30,12342,4,5,1940,1950,861,861,1,1,1,4,3,2009,82500
20,12378,9,5,2003,2004,1944,1944,2,3,1,8,11,2006,360000
60,7685,6,5,1993,1994,697,1501,2,3,1,6,5,2006,165600
20,8000,6,6,1948,2002,972,972,1,2,1,5,5,2009,132000
190,7800,5,7,1939,1950,793,1118,1,3,1,5,5,2006,119900
20,215245,7,5,1965,1965,2036,2036,2,3,1,8,6,2009,375000
70,9600,7,7,1925,1990,832,1641,1,3,1,6,8,2006,178000
60,7795,7,5,2004,2005,716,1432,2,3,1,6,7,2009,188500
60,13005,7,7,1980,1980,1153,2353,2,4,1,10,8,2009,260000
60,9000,8,5,2006,2006,1088,1959,2,3,1,8,12,2007,270000
60,9900,7,5,1993,1993,1372,2646,2,4,1,9,4,2009,260000
80,14115,7,5,1980,1980,1472,1472,2,3,1,6,6,2009,187500
60,16259,9,5,2006,2006,1249,2596,3,4,1,9,9,2006,342643
60,12099,8,5,2004,2004,1136,2468,2,4,1,10,6,2007,354000
60,10380,7,5,1986,1987,1553,2730,2,4,1,8,8,2007,301000
20,5820,3,8,1955,2005,1163,1163,1,3,1,6,7,2006,126175
80,11275,7,7,1967,2007,1898,2978,2,5,1,11,6,2010,242000
45,5000,5,6,1941,1950,803,803,1,2,1,5,12,2007,87000
120,10846,8,5,1993,1993,1719,1719,1,1,1,6,5,2008,324000
20,11600,6,5,1960,1960,1383,1383,1,3,1,7,4,2006,145250
75,11888,6,6,1916,1994,1445,2134,2,5,1,10,7,2009,214500
70,6402,5,5,1920,1950,596,1192,1,3,1,6,7,2009,78000
90,10624,5,4,1964,1964,1728,1728,2,6,2,10,11,2007,119000
20,8176,5,6,1958,1992,1056,1056,1,3,1,6,8,2007,139000
20,10655,8,5,2003,2004,1629,1629,2,3,1,7,10,2009,284000
120,8198,7,5,2004,2004,1358,1358,2,2,1,6,7,2008,207000
60,9042,6,5,1998,1998,943,1638,2,3,1,7,7,2008,192000
190,164660,5,6,1965,1965,1619,1786,2,3,1,7,8,2008,228950
20,14157,9,5,2005,2006,1922,1922,2,3,1,8,7,2007,377426
20,9135,7,5,2002,2003,1536,1536,2,3,1,7,12,2008,214000
20,14145,7,7,1984,1998,1621,1621,2,3,1,8,5,2006,202500
20,12400,6,7,1958,1998,1215,1215,1,3,1,6,6,2009,155000
60,14191,8,5,2002,2002,993,1908,2,4,1,9,4,2010,202900
20,8400,4,4,1950,1950,841,841,1,2,1,4,9,2009,82000
90,8544,3,4,1949,1950,1040,1040,2,2,2,6,5,2006,87500
120,8849,9,5,2005,2005,1684,1684,2,2,1,6,7,2008,266000
160,2592,5,3,1976,1976,536,1112,1,3,1,4,4,2010,85000
50,6435,6,5,1939,1950,972,1577,1,3,1,6,10,2006,140200
20,12772,6,8,1960,1998,958,958,1,2,1,5,4,2007,151500
20,17600,6,5,1960,1960,1478,1478,2,3,1,6,12,2009,157500
160,2448,7,5,2003,2004,764,1626,2,2,1,6,10,2008,154000
60,20431,9,5,2005,2006,1848,2728,2,4,1,10,4,2006,437154
120,7820,9,5,2007,2007,1869,1869,2,2,1,6,12,2007,318061
120,5271,7,5,1986,1986,1453,1453,1,2,1,6,12,2006,190000
50,9084,5,6,1941,1950,616,1111,1,3,1,5,3,2008,95000
30,8520,6,8,1928,2003,720,720,1,2,1,5,5,2010,105900
50,8400,6,5,1940,2000,1192,1595,1,2,1,6,6,2006,140000
20,11249,6,5,1995,1995,1200,1200,2,3,1,6,8,2007,177500
20,9248,6,6,1992,1992,1167,1167,2,3,1,6,7,2009,173000
120,4224,5,5,1976,1976,1142,1142,1,3,1,6,8,2007,134000
80,6930,5,4,1958,1958,1352,1352,1,3,1,6,7,2006,130000
60,12011,8,5,1998,1998,1086,1924,2,3,1,7,6,2006,280000
85,7540,6,6,1978,1978,912,912,1,2,1,5,6,2007,156000
50,9144,5,5,1940,1982,988,1505,1,3,1,8,7,2008,145000
85,7301,7,5,2003,2003,495,1922,3,4,1,7,7,2009,198500
160,1680,6,8,1972,2007,483,987,1,2,1,5,5,2009,118000
60,18800,6,5,1976,1976,790,1574,2,3,1,6,7,2006,190000
70,10690,5,7,1920,1997,672,1344,1,3,1,6,7,2009,147000
20,9500,6,5,1963,1963,1394,1394,1,3,1,6,7,2009,159000
80,9150,6,5,1962,1962,1431,1431,1,3,1,6,12,2008,165000
20,7800,5,6,1954,1954,1268,1268,1,2,1,7,3,2010,132000
20,9830,5,7,1959,2006,1287,1287,1,3,1,7,3,2010,162000
60,8121,6,5,2000,2000,953,1664,2,3,1,7,1,2006,172400
50,17120,4,4,1959,1959,1120,1588,2,4,1,7,7,2008,134432
120,7175,6,5,1984,1984,752,752,1,2,1,4,2,2010,125000
20,10634,5,6,1953,1953,1319,1319,1,3,1,5,11,2009,123000
60,8200,7,5,2003,2004,847,1928,2,4,1,8,7,2007,219500
30,10020,1,1,1922,1950,904,904,0,1,1,4,3,2009,61000
85,8846,5,5,1996,1996,914,914,1,2,1,5,7,2006,148000
60,11143,8,5,2004,2005,1580,2466,3,4,1,8,12,2007,340000
20,11394,9,2,2010,2010,1856,1856,1,1,1,8,6,2010,394432
60,8123,6,5,2000,2000,1007,1800,2,3,1,7,6,2009,179000
50,5000,5,6,1924,1950,1026,1691,2,3,1,6,5,2010,127000
20,7200,7,5,2006,2006,1301,1301,2,2,1,5,8,2006,187750
60,9245,7,5,2006,2006,939,1797,2,3,1,8,4,2007,213500
45,9000,6,3,1928,1950,784,784,1,2,1,5,10,2009,76000
60,53107,6,5,1992,1992,1079,1953,2,3,1,9,6,2007,240000
120,3182,8,5,2004,2005,1269,1269,2,2,1,6,4,2010,192000
50,8410,5,3,1910,1996,658,1184,1,5,1,8,5,2006,81000
80,7200,6,6,1976,1976,1125,1125,1,3,1,6,10,2009,125000
20,9382,7,5,1999,2000,1479,1479,2,3,1,6,7,2008,191000
60,12474,10,5,2007,2008,1742,2332,2,3,1,9,8,2008,426000
50,8405,5,8,1900,1950,961,1367,1,4,1,7,4,2008,119000
60,12209,6,5,2001,2002,804,1961,2,3,1,7,6,2009,215000
20,8339,5,7,1959,1959,882,882,1,3,1,5,7,2007,106500
30,7446,4,5,1941,1950,788,788,1,2,1,4,4,2006,100000
50,10134,5,6,1940,1950,735,1034,1,2,1,5,7,2007,109000
20,9571,5,6,1956,1956,1144,1144,1,3,1,6,6,2010,129000
20,7200,5,5,1972,1972,894,894,1,2,1,6,9,2009,123000
60,7590,5,5,1962,1962,876,1812,2,4,1,8,7,2007,169500
30,8967,5,2,1920,1950,1077,1077,1,2,1,6,11,2007,67000
60,8125,7,5,2006,2007,1112,1550,2,2,1,7,10,2009,241000
120,14963,8,5,1996,1996,1288,1288,1,1,1,4,12,2008,245500
20,8767,7,5,2005,2005,1310,1310,2,3,1,6,7,2006,164990
30,10200,5,8,1940,1997,672,672,1,2,1,4,8,2008,108000
60,12090,8,5,1998,1998,1165,2263,2,4,1,10,7,2006,258000
60,10364,6,5,1995,1996,806,1572,2,3,1,7,5,2007,168000
20,9991,4,4,1976,1993,1620,1620,2,3,1,8,6,2009,150000
50,10480,6,5,1936,1950,1166,1639,1,3,1,6,3,2008,115000
70,15576,6,7,1915,1976,840,1680,2,4,1,8,3,2008,177000
60,14154,7,5,2006,2006,1071,2172,2,3,1,9,8,2007,280000
60,10800,8,5,2007,2008,1050,2078,2,3,1,8,4,2008,339750
20,9571,5,3,1958,1958,1276,1276,1,3,1,5,6,2009,60000
190,34650,5,5,1955,1955,1056,1056,1,3,1,5,1,2006,145000
20,4403,7,5,2009,2009,1478,1478,2,2,1,7,6,2010,222000
30,8960,5,6,1927,1950,1028,1028,1,2,1,5,3,2010,115000
60,11228,7,5,1993,1993,1080,2097,2,3,1,9,12,2008,228000
20,8899,7,5,2007,2007,1340,1340,2,3,1,6,8,2007,181134
60,7844,6,7,1978,1978,672,1400,1,3,1,6,3,2006,149500
70,22420,6,6,1918,1950,1370,2624,2,4,1,10,11,2007,239000
50,8160,5,6,1940,1950,756,1134,1,3,1,7,4,2007,126000
20,8450,5,6,1968,1968,1056,1056,1,3,1,6,7,2010,142000
90,7060,7,5,1997,1998,1344,1344,2,2,2,8,11,2008,206300
20,16635,6,7,1977,2000,1602,1602,2,3,1,8,6,2009,215000
20,21750,5,5,1954,1954,988,988,1,2,1,4,2,2008,113000
60,9200,8,5,1998,1998,1470,2630,2,4,1,8,6,2008,315000
20,9000,6,5,1956,1956,1196,1196,1,2,1,6,5,2008,139000
60,3378,7,8,1946,1992,707,1389,1,3,1,6,9,2009,135000
80,12800,7,5,1989,1989,1644,1644,2,2,1,5,8,2009,275000
20,8593,4,6,1957,1957,907,907,1,3,1,5,7,2008,109008
20,6762,7,5,2007,2007,1208,1208,2,2,1,6,9,2007,195400
20,11457,6,5,1988,1988,1412,1412,2,3,1,6,3,2009,175000
160,1680,6,5,1971,1971,483,987,1,2,1,4,7,2008,85400
50,5586,6,7,1920,1998,1088,1198,1,4,1,7,9,2008,79900
160,1920,5,5,1971,1971,765,1365,1,2,1,6,8,2007,122500
60,10839,6,5,1997,1998,926,1604,2,3,1,7,7,2008,181000
180,1890,4,7,1972,1972,630,630,1,1,1,3,6,2008,81000
60,10667,7,6,1996,1996,827,1661,2,3,1,6,4,2009,212000
50,4400,6,8,1920,1950,734,1118,1,2,1,6,10,2006,116000
45,6000,6,7,1926,2004,904,904,1,2,1,4,1,2009,119000
30,4280,5,6,1913,2002,694,694,1,2,1,4,3,2007,90350
50,12354,6,8,1920,2000,684,1196,1,3,1,7,8,2009,110000
20,15431,10,5,2008,2008,2402,2402,2,2,1,10,4,2009,555000
90,12108,4,4,1955,1955,1440,1440,2,4,2,8,9,2008,118000
50,6240,5,7,1930,1992,1128,1573,2,3,1,8,6,2008,162900
120,3922,7,5,2006,2007,1258,1258,2,2,1,6,6,2007,172500
60,8750,7,5,1994,1995,933,1908,2,4,1,8,7,2008,210000
20,9855,6,5,1956,1956,1689,1689,1,3,1,7,11,2009,127500
20,16492,6,6,1966,2002,1888,1888,2,2,1,6,6,2010,190000
60,11214,7,5,1998,1999,956,1886,2,4,1,10,7,2006,199900
50,8600,6,6,1937,1950,780,1376,2,3,1,7,6,2006,119500
50,6000,3,7,1948,2002,679,1183,1,2,1,6,6,2007,120000
30,5684,6,8,1930,2005,813,813,1,2,1,5,6,2006,110000
20,70761,7,5,1975,1975,1533,1533,2,2,1,5,12,2006,280000
60,9303,6,5,1996,1997,888,1756,2,3,1,7,7,2007,204000
60,9000,8,5,2008,2008,786,1590,2,3,1,6,6,2009,210000
90,9297,5,5,1976,1976,1728,1728,2,4,2,8,7,2006,188000
20,9600,7,6,1973,1973,1242,1242,1,3,1,6,9,2007,175500
70,4571,5,5,1916,1950,624,1344,1,4,1,7,5,2008,98000
20,53227,4,6,1954,1994,1663,1663,1,2,1,6,3,2008,256000
70,5100,8,7,1925,1996,833,1666,1,3,1,7,6,2008,161000
50,7015,5,4,1950,1950,979,1203,1,3,1,5,7,2009,110000
60,8004,8,5,2009,2009,832,1935,2,3,1,8,12,2009,263435
70,7200,7,9,1936,2007,575,1135,1,3,1,6,4,2009,155000
20,8281,5,5,1965,1965,864,864,1,3,1,5,12,2009,62383
70,11988,6,7,1934,1995,849,1660,1,3,1,6,8,2008,188700
20,8430,5,5,1978,1978,1040,1040,2,3,1,5,8,2009,124000
120,3072,7,5,2004,2004,1414,1414,2,2,1,6,5,2006,178740
20,10628,7,5,1970,1970,1277,1277,1,2,1,5,4,2007,167000
70,9480,5,7,1942,1995,888,1644,1,3,1,7,6,2007,146500
20,11428,8,5,2006,2006,1634,1634,2,3,1,7,5,2007,250000
60,9291,6,5,1993,1993,832,1710,2,3,1,7,6,2008,187000
120,6820,8,5,1985,1985,1502,1502,1,1,1,4,6,2010,212000
60,11952,7,6,1977,1977,1161,1969,2,3,1,8,11,2007,190000
180,3675,6,5,2005,2005,1072,1072,1,2,1,5,6,2008,148000
20,14977,8,5,2006,2007,1976,1976,2,2,1,7,7,2007,440000
120,5330,8,5,2000,2000,1652,1652,2,2,1,6,8,2007,251000
20,8480,5,6,1963,1963,970,970,1,2,1,5,7,2007,132500
20,13125,6,5,1997,1998,1493,1493,2,3,1,7,4,2008,208900
60,13693,9,5,2006,2006,2069,2643,2,3,1,9,3,2007,380000
20,10637,8,5,2007,2008,1718,1718,2,3,1,7,9,2009,297000
30,5925,4,7,1937,2000,1131,1131,1,2,1,7,3,2007,89471
20,16033,9,5,2004,2005,1850,1850,2,3,1,8,3,2006,326000
20,11846,9,5,2003,2004,1792,1792,2,2,1,6,8,2006,374000
70,2500,7,8,1915,2005,916,1826,1,4,1,7,6,2009,155000
120,4500,6,5,1998,1998,1216,1216,2,2,1,5,5,2006,164000
20,7758,5,7,1962,2001,999,999,1,3,1,6,3,2007,132500
20,9600,5,7,1950,2007,1113,1113,1,3,1,5,7,2009,147000
20,10289,5,7,1965,1965,1073,1073,1,3,1,6,6,2007,156000
20,12243,5,6,1971,1971,1484,1484,2,3,1,7,2,2007,175000
190,10800,5,4,1900,1970,1766,2414,2,3,2,10,5,2006,160000
180,1526,4,8,1970,2002,630,630,1,1,1,3,5,2009,86000
160,2665,5,6,1976,1976,616,1304,1,3,1,4,6,2008,115000
50,9490,6,7,1941,1950,958,1578,1,3,1,5,8,2006,133000
60,15578,6,5,2006,2006,728,1456,2,3,1,8,5,2006,172785
20,7931,5,6,1960,1960,1269,1269,1,3,1,6,6,2008,155000
30,5784,5,8,1938,1996,886,886,1,2,1,4,12,2009,91300
30,7879,4,5,1920,1950,720,720,1,2,1,4,11,2009,34900
20,12692,8,5,1992,1993,3228,3228,3,4,1,10,5,2007,430000
50,9120,7,6,1925,1950,1133,1820,2,4,1,8,6,2008,184000
20,7800,5,7,1967,2004,899,899,1,3,1,5,6,2009,130000
20,7535,5,7,1958,1985,912,912,1,2,1,5,6,2007,120000
160,1890,6,5,1973,1973,672,1218,1,3,1,7,5,2007,113000
60,9803,7,5,2005,2005,866,1768,2,3,1,7,2,2008,226700
20,9170,5,7,1965,1965,1214,1214,1,2,1,6,4,2007,140000
20,15602,7,8,1959,1997,1801,1801,2,1,1,6,3,2010,289000
160,2308,6,5,1974,1974,855,1322,2,3,1,6,6,2009,147000
90,7596,5,5,1952,1952,960,1960,2,4,2,10,7,2009,124500
60,9554,8,5,1993,1994,1065,1911,2,3,1,8,9,2006,215000
20,7862,6,5,2009,2009,1218,1218,2,2,1,4,9,2009,208300
70,9600,7,9,1928,2005,689,1378,2,3,1,7,10,2008,161000
20,9600,5,6,1959,1959,1041,1041,1,3,1,6,7,2009,124500
20,14559,5,7,1951,2000,1363,1363,1,2,1,6,6,2009,164900
120,6792,7,5,2005,2006,1368,1368,2,2,1,6,3,2006,202665
20,9100,5,5,1958,1958,864,864,1,3,1,5,7,2006,129900
20,9187,6,5,1983,1983,1080,1080,1,3,1,5,6,2007,134000
45,10594,5,5,1926,1950,789,789,1,2,1,5,6,2007,96500
20,12220,10,5,2009,2009,2020,2020,2,3,1,9,9,2009,402861
80,10448,6,6,1972,1972,1378,2119,2,3,1,7,8,2009,158000
60,10208,7,5,1996,1997,1277,2344,2,3,1,7,7,2009,265000
60,9531,6,5,1998,1998,882,1796,2,3,1,7,5,2007,211000
70,10918,7,9,1926,2004,1276,2080,1,3,1,9,6,2009,234000
190,10800,4,7,1900,2000,694,1294,2,3,2,7,8,2008,106250
20,11988,6,6,1957,1957,1244,1244,1,3,1,6,5,2007,150000
50,5000,6,7,1947,1950,1004,1664,2,3,1,7,10,2006,159000
60,40094,10,5,2007,2008,3138,4676,3,3,1,11,10,2007,184750
60,11787,7,5,1996,1997,1383,2398,2,3,1,8,8,2007,315750
20,7500,7,5,2005,2005,1266,1266,2,3,1,6,4,2006,176000
20,13300,5,7,1956,2000,928,928,1,2,1,4,6,2007,132000
60,14948,9,5,2008,2008,1476,2713,2,3,1,11,11,2008,446261
30,9098,4,7,1920,2002,605,605,1,2,1,5,7,2007,86000
20,32668,6,3,1957,1975,2515,2515,3,4,2,9,3,2007,200624
80,10200,6,5,1988,1989,1509,1509,2,3,1,5,8,2008,175000
70,6155,6,8,1920,1999,751,1362,2,3,1,6,6,2008,128000
20,7200,5,7,1955,2007,827,827,1,2,1,5,4,2010,107500
20,5000,1,3,1946,1950,334,334,1,1,1,2,1,2007,39300
60,9056,8,5,2004,2004,707,1414,2,3,1,6,10,2006,178000
190,7000,5,7,1910,1991,820,1347,1,3,1,5,1,2008,107500
60,8924,7,5,1998,1999,880,1724,2,3,1,8,7,2008,188000
20,12735,4,5,1972,1972,864,864,1,3,1,5,4,2008,111250
20,11553,5,5,1968,1968,1159,1159,1,3,1,7,7,2006,158000
20,11423,8,5,2001,2002,1601,1601,2,3,1,6,5,2010,272000
20,14601,9,5,2006,2006,1838,1838,2,2,1,8,3,2009,315000
60,11000,8,5,2000,2000,997,2285,2,4,1,8,6,2007,248000
20,10140,7,5,1998,1999,1680,1680,2,3,1,7,6,2009,213250
120,4058,7,5,1998,1998,767,767,1,1,1,4,6,2007,133000
60,17104,7,5,2006,2006,664,1496,2,3,1,7,9,2006,179665
50,13837,7,5,1988,1988,1377,2183,2,4,1,9,2,2006,229000
50,8737,6,7,1923,1950,915,1635,1,3,1,6,5,2007,210000
85,7244,5,7,1970,1970,768,768,1,2,1,5,4,2007,129500
20,8235,5,7,1955,1995,825,825,1,2,1,4,6,2008,125000
60,9375,7,5,2003,2004,912,2094,2,4,1,8,11,2009,263000
120,4043,6,6,1977,1977,1069,1069,2,2,1,4,10,2008,140000
20,6000,5,6,1957,1957,928,928,1,3,1,5,6,2008,112500
20,11146,8,5,2006,2006,1717,1717,2,3,1,7,7,2009,255500
20,8777,4,5,1949,2003,1126,1126,2,2,1,5,5,2009,108000
60,10625,7,5,2003,2004,1006,2046,2,3,1,8,8,2008,284000
45,6380,5,6,1922,1950,1048,1048,1,2,1,5,8,2006,113000
20,14850,5,5,1957,1957,1092,1092,1,2,1,6,5,2006,141000
50,11040,4,6,1920,1950,897,1336,1,3,1,7,9,2006,108000
60,21872,7,5,1996,1997,729,1446,2,3,1,6,8,2008,175000
120,3196,7,5,2003,2004,1557,1557,2,2,1,7,10,2006,234000
20,11341,5,6,1957,1996,1392,1392,1,3,1,5,5,2010,121500
20,10010,5,5,1974,1975,1389,1389,1,2,1,6,4,2006,170000
30,13907,5,6,1940,1969,996,996,1,3,1,6,7,2008,108000
50,21780,6,7,1918,1950,1163,1674,2,4,1,8,7,2008,185000
60,13346,7,5,1992,2000,1166,2295,2,4,1,9,7,2006,268000
70,6858,6,4,1915,1950,841,1647,1,4,1,6,5,2010,128000
60,11198,9,5,2005,2007,1134,2504,2,4,1,11,6,2008,325000
20,10171,7,5,2004,2004,1535,1535,2,3,1,7,3,2010,214000
50,12327,8,8,1983,2009,1496,2132,1,1,1,5,9,2009,316600
90,7032,5,5,1979,1979,943,943,1,2,1,4,12,2006,135960
90,13101,5,5,1965,1965,1728,1728,2,6,2,10,11,2008,142600
20,7332,6,6,1959,1959,864,864,1,2,1,4,10,2006,120000
60,13159,7,5,2009,2009,846,1692,2,3,1,6,7,2009,224500
80,9967,7,5,2000,2000,774,1430,2,3,1,8,12,2007,170000
80,10500,5,7,1971,2005,576,1109,1,3,1,5,12,2007,139000
50,8480,5,5,1947,1950,832,1216,1,2,1,6,10,2008,118500
50,6292,7,7,1928,1950,877,1477,2,3,1,6,8,2009,145000
80,11777,5,6,1966,1966,1320,1320,1,3,1,6,5,2006,164500
160,3604,7,5,2007,2007,703,1392,2,2,1,5,2,2008,146000
50,12150,5,5,1954,1954,1050,1795,2,4,1,7,11,2008,131500
20,14585,6,6,1960,1987,1429,1429,1,3,1,7,6,2007,181900
